Question,Ground Truth,CDR,NYU,JPL,HG
217,1,0,0,2,0
1301,1,0,,,
1612,2,0,,,
1942,1,0,,,
288,1,0,,,
2249,3,0,,,
1464,1,0,,,
2247,2,0,,,
284,1,0,0,0,1
1159,1,0,0,0,0
1098,1,0,,,
260,1,0,,,
1705,1,0,,,
1707,1,0,1,3,10
921,4,0,,,
292,1,0,,,
823,1,0,,,
1124,1,0,,,
192,1,0,,,
392,1,0,0,0,0
110,1,0,,,
276,1,0,,,
796,1,0,,,
2304,1,0,0,0,0
799,8,0,1,0,3
429,1,0,,,
2268,4,0,,,
1521,1,0,,,
2266,1,0,,,
363,1,0,0,0,0
1986,3,0,,,
1339,1,0,2,0,0
1330,1,0,,,
244,1,0,,,
383,1,0,,,
242,1,0,,,
107,1,0,,,
1647,1,0,2,0,0
381,1,0,,,
418,1,0,,,
1725,1,0,,,
2278,1,0,,,
519,1,0,,,
1666,1,0,,,
510,1,0,0,5,4
434,1,0,,,
1342,1,0,,,
455,1,0,,,
1876,1,0,,,
258,1,0,,,
1871,1,0,,,
1907,1,0,,,
1905,3,0,,,
1630,1,0,,,
2256,1,0,,,
1734,1,0,,,
813,1,0,,,
1038,1,0,0,0,2
1506,1,0,,,
2112,1,0,,,
1035,1,0,0,0,0
758,1,0,,,
900,1,0,,,
1597,1,0,0,0,0
1127,1,0,,,
1915,1,0,,,
221,2,0,,,
163,1,0,,,
1621,1,0,,,
1677,1,0,,,
2215,1,0,,,
1998,2,0,,,
1180,1,0,0,0,0
2241,1,0,,,
724,2,0,,,
1103,1,0,,,
1453,1,0,,,
1513,1,0,,,
881,1,0,,,
559,1,0,,,
884,1,0,,,
552,1,0,,,
230,1,0,,,
1892,1,0,,,
1965,1,0,,,
1967,1,0,,,
1960,1,0,,,
1446,1,0,,,
321,1,0,,,
1692,1,0,,,
1442,1,0,,,
2030,1,0,,,
1448,1,0,,,
202,1,0,,,
204,1,0,,,
141,1,0,,,
1763,1,0,,,
2121,1,0,,,
1284,1,0,,,
1971,1,0,,,
684,1,0,,,
