Question,Ground Truth,CDR,NYU,JPL,HG
24,57,57,,,
25,142,138,,,
26,135,134,,,
27,135,135,,,
20,16,15,,,
21,42,40,,,
22,74,74,,,
23,42,41,,,
28,44,44,,,
29,23,23,,,
4,40,37,32,0,147
8,154,154,,,
59,90,85,,,
58,87,88,,,
55,93,91,,,
54,115,108,,,
57,25,25,,,
56,29,29,,,
51,53,53,,,
50,31,31,,,
53,96,94,,,
52,191,191,,,
88,24,24,,,
89,90,85,,,
82,65,65,51,0,58
83,107,107,26,0,82
80,83,84,,,
81,32,32,,,
86,113,111,,,
87,37,37,,,
84,69,68,45,1,122
85,116,108,,,
3,55,51,,,
7,56,27,,,
100,47,43,27,2,60
39,138,130,,,
38,62,62,,,
33,20,19,,,
32,21,18,,,
31,144,144,,,
30,91,86,,,
37,45,42,18,32,118
36,35,31,,,
35,101,88,34,16,78
34,24,20,,,
60,137,132,,,
61,33,33,,,
62,188,187,,,
63,112,107,,,
64,28,26,,,
65,155,153,,,
66,60,56,,,
67,18,17,,,
68,133,131,55,0,99
69,99,85,37,17,83
2,73,67,,,
6,24,24,,,
99,74,73,,,
98,63,63,,,
91,138,133,,,
90,37,8,,,
93,135,131,,,
92,76,76,,,
95,28,26,,,
94,24,23,,,
97,91,87,,,
96,116,114,,,
11,75,74,,,
10,67,65,,,
13,62,61,,,
12,116,116,,,
15,83,83,,,
14,36,31,,,
17,46,43,,,
16,14,5,,,
19,16,15,,,
18,25,23,,,
48,37,37,,,
49,187,181,,,
46,52,52,,,
47,126,123,,,
44,100,100,71,2,189
45,31,31,,,
42,174,174,,,
43,26,25,,,
40,19,19,,,
41,77,68,,,
1,77,74,,,
5,11,11,18,7,146
9,49,45,,,
77,121,121,,,
76,100,100,58,3,154
75,78,77,,,
74,82,73,,,
73,33,33,,,
72,96,91,,,
71,63,59,15,1,119
70,48,43,,,
79,57,57,36,0,125
78,112,108,26,0,47
