Question,Ground Truth,CDR,NYU,JPL,HG
30,40,40,,,
42,160,155,,,
43,160,160,,,
36,138,133,,,
32,41,40,,,
24,147,146,,,
25,34,32,133,92,84
26,33,0,90,137,72
27,181,181,,,
20,150,143,,,
21,104,92,,,
22,31,1,125,69,79
23,55,53,,,
46,121,121,,,
47,132,132,106,71,86
44,121,119,,,
45,195,193,,,
28,222,215,,,
29,65,64,,,
40,162,160,,,
41,167,167,,,
1,149,147,,,
3,159,155,,,
2,150,143,,,
5,135,135,,,
4,136,129,,,
7,195,193,,,
6,59,56,,,
9,26,26,100,76,14
8,195,194,,,
39,66,66,,,
38,36,34,,,
11,196,194,,,
10,77,22,,,
13,29,29,,,
12,203,200,,,
15,118,118,,,
14,22,22,,,
17,121,116,4,5,47
16,119,119,,,
19,174,163,,,
18,141,140,,,
31,50,50,,,
49,176,176,,,
37,53,53,132,112,160
50,72,72,,,
35,49,44,,,
34,126,124,,,
33,129,128,,,
48,127,127,,,
